name,content,author,region,people,start,end
1 i 3 V 1983 w Nowej Hucie i Krakowie,"['""1 i 3 V 1983 w Nowej Hucie i Krakowie"", 1 V oficjalne uroczystości w Krakowie odbywały się na Rynku Głównym; podczas przemówienia I sekretarza Komitetu Miejskiego PZPR Józefa Gajewicza wyszli wierni z nabożeństwa w Kościele Mariackim, nast. przeszli wokół Rynku, skandując hasła poparcia dla Lecha Wałęsy i „S”, nast. rozeszli się nieniepokojeni. Gwałtowniejszy przebieg miały demonstracje w Nowej Hucie: po mszy św. w kościele NMP w Bieńczycach ok. 5-tysięczna manifestacja ruszyła w kierunku ul. Kocmyrzowskiej, jednocześnie pod bramą HiL hutnicy schodzący z 1. zmiany utworzyli drugi pochód. ZOMO nie udało się rozpędzić demonstrujących, dotarli oni do pl. Centralnego. Rozpoczęły się długotrwałe walki uliczne, które objęły większą część Nowej Huty. Manifestanci zbudowali kilka barykad, m.in. obok kina Świt i pod Teatrem Ludowym, gdzie śmiertelnie postrzelono 29-letniego Ryszarda Magurę. Walki ucichły ok. godz. 20, przez całą noc miasto patrolowały oddziały MO. Liczba rannych demonstrantów nie jest znana, wg oficjalnych danych pogotowie udzieliło pomocy 20 osobom (możliwe jednak, że poszkodowanych było znacznie więcej), obrażenia odniosło 124 funkcjonariuszy MO.', '3 V rano w Nowej Hucie ZOMO rozbiło formujący się pochód. W Krakowie po uroczystej mszy św. w Katedrze na Wawelu (ok. godz. 19) oddziały MO otoczyły Wawel, utrudniając wiernym rozejście się. Tłum uformował pochód, który usiłując ominąć blokadę w kilku miejscach starł się z funkcjonariuszami. Oddziały ZOMO zatrzymywały ludzi do ok. godz. 22, akcja zakończyła się pacyfikacją dworca PKP i okolic.']",['Bartosz Kapuściak'],Małopolska,,,
13 grudnia,"['""13 grudnia"", pismo wydawane w Krakowie I 1982 – VII 1987; od nr. 1(28) z 16 I 1984 pt. „13” (Trzynastka) z podtytułem: „Pismo chrześcijańsko-liberalne”.', 'Ukazało się 70 nr. o obj. 8-19 s. w formacie A4, drukowanych na powielaczu; miesięcznik.', 'W składzie redakcji w różnych okresach: Agnieszka Gramatyka (założycielka), Grzegorz Łuczkiewicz, Mirosław Dzielski i Henryk Woźniakowski.', ""W nr. 2 z 1982 motto: „Ogromne wojska, bitne generały, Policje – tajne, jawne i dwu-płciowe – Przeciwko komuż tak się pojednały?... Przeciwko kilku myślom... co nie nowe!” (C. K. Norwid); w nr. 3(30) z 1983 tekst ''Okrakiem na barykadzie i co dalej?'' M. Dzielskiego, który wkrótce potem przejął kierowanie pismem. Stało się ono ważnym forum niezależnej myśli liberalnej, w którym publikowali m.in.: Stefan Kisielewski, Janusz Korwin-Mike, Miłowit Kuniński, Ryszard Legutko, Kazimierz Sowa, Tadeusz Syryjczyk. W stopce redakcyjnej jako wydawcę podawano Oficynę Liberum Veto."", 'Cena egz. 25-60\xa0zł, poza Galicją 30-80\xa0zł.']",['Ewa Zając'],Małopolska,,,
ABC Adriatyk Baltyk Morze Czarne,"['""ABC. Adriatyk, Bałtyk, Morze Czarne"", pismo o tematyce międzynarodowej wydawane 1984-1989 w Lublinie przez organizację Niepodległość, następnie przez lubelski oddział LDPN (redakcja była niezależna).', 'Ukazało się 8 nr. (w tym 2 podwójne) o obj. 100-150 s. w formacie A5, drukowanych techniką sitodruku w nakł. ok. 1 tys. egz.', 'W składzie redakcji: Marcin Dybowski, Bronisław Komorowski (problematyka polsko-litewska, ps. Piotr Maszkański, Tadeusz Orawski, Zetka), Andrzej Krawczyk (tematyka czeska, ps. A.K., Zbigniew Markowski, Z.M., Andrzej Wiślicki, A.W., Stanisław Wolański), Waldemar Maj (tematyka węgierska, ps. MDJ) i Marcin Nawrot (problematyka polsko-ukraińska, ps. Jan Sas, J.S.); współpracownicy: Jacek Borkowicz (ps. Zbigniew Arnhold), Mirosław Czech (ps. Roman Podebski), Urszula Doroszewska (ps. Hieronim Rogowski), Krzysztof Kopczyński (ps. Antonina Sroczyńska, A.S.), Maria Korniłowicz (ps. ANO-NIM), Andrzej Paweł Kumor (ps. Azja Tuhajbejowicz), Jerzy Łojek, Stanisław Plewako (ps. prosk.), Jerzy Wysocki, Antoni Zambrowski (A.Z.), Tadeusz Kadenacy (stały współpracownik na Zachodzie).', ""Publikowano artykuły dot. współczesnej myśli politycznej, najnowszej historii państw i narodów Europy Środkowej i Wschodniej oraz bieżącej sytuacji tamże, wywiady, polemiki, dokumenty, recenzje, komentarze; informowano o działalności dysydentów i ruchów opozycyjnych w poszczególnych krajach. Poruszano m.in. tematy: religia w ZSRS, ruchy pokojowe w Europie Wschodniej (nr 2), węgierski niezależny ruch wydawniczy, litewski ruch narodowo-religijny (nr 3), ''Opór na Ukrainie po drugiej wojnie światowej'' Myrosława Prokopa, Rosjanie o narodzie rosyjskim, Polska-Czechosłowacja (nr 4), ''Idea federacyjna'' J. Piłsudskiego J. Łojka, ''Idea jagiellońska'' ks. W. Bukowińskiego, (nr 5), problematyka ukraińska, Karta 77 (nr 6)."", 'Kolportowano na terenie całego kraju.']",['Włodzimierz Domagalski'],Środkowo-Wschodni,,,
ABC system,"['ABC, system w „S” Regionu Małopolska, trójpoziomowy, hierarchiczny system kolportażowo-informacyjny, dający możliwość szybkiego obiegu informacji pomiędzy poszczególnymi ogniwami Związku (od centrali do każdej KZ); opracowany przez zespół pracowników Krakowskiego Biura Projektów Budownictwa Komunalnego pod kierunkiem Bolesława Śliwińskiego.', 'Region Małopolska został podzielony na 39 terytorialnych jednostek organizacyjnych. W obrębie każdej z nich znajdował się jeden większy zakład (poziom A). Powiązane z nim były przedsiębiorstwa średnich rozmiarów w liczbie ok. 10 (poziom B). Z kolei każdemu z nich podporządkowano od kilku do kilkunastu mniejszych zakładów (poziom C).', 'Raz na tydzień przedstawiciele zakładu A z Krakowa odbierali przesyłki zawierające aktualną prasę i druki w MKZ/ZR. Te same paczki przesyłano poprzedniego dnia do zakładów poziomu A w Regionie. Następnie przyporządkowane im zakłady poziomu B zgłaszały się do nich i odbierały pisma i wydawnictwa dla siebie oraz podległych zakładów poziomu C. System funkcjonował również w drugą stronę: od zakładów poziomu C przez poziomy B i A do MKZ/ZR w Krakowie.', 'W praktyce system ABC zapewniał nie tylko sprawny kolportaż, lecz służył też np. do sondowania opinii. Umożliwiając bezpośrednie kontakty pomiędzy jednostkami organizacyjnymi „S”, stał się ponadto źródłem kształtowania więzi społecznych. W razie nagłych wypadków mógł być uruchomiony natychmiast. System naśladowano w innych regionach.', 'W stanie wojennym w oparciu o kontakty, które ukształtowały się dzięki temu systemowi, tworzyły się zarówno konspiracyjne, międzyzakładowe struktury „S”, jak i nieformalne grupy m.in. wydające podziemne pisma.']",['Ewa Zając'],Małopolska,,,
Ad Vocem,"['„Ad Vocem”, podtytuł: „Dwutygodnik informacyjny WiP”; od n-ru 1(8) „Pismo Ruchu WiP”. Pismo Ruchu WiP w Szczecinie, wydawane XI 1987 – II 1990 (z przerwą III 1988 – VII 1989). Ukazało się 14 n-rów (nr 4/5(11/12) z 1989 podwójny), obj. 2 s., nast. 4–6 s., format A4, druk na powielaczu białkowym (skonfiskowany podczas rewizji w mieszkaniu Hanny Pawłowskiej), nast. na offsecie, nakł. 500–1,5 tys. egz.; wychodziło nieregularnie. W redakcji w różnych okresach: Małgorzata Narożna, H. Pawłowska, (od n-ru 9) Tomasz Duklanowski i Maciej Romaniuk; druk m.in. Andrzej Kotula; współpracownicy m.in.: Marek Adamkiewicz i Krzysztof Hołowczyc. Poruszano tematy bieżące, związane m.in. ze służbą wojskową, informowano o studentach szczecińskich (i\xa0in.) uczelni przebywających w więzieniach, odmawiających służby wojskowej ze wzgl. na pacyfistyczne przekonania. Kolportowane przez uczestników Ruchu WiP oraz FMW.']",['Marta Marcinkiewicz'],Pomorze Zachodnie,,,
Afirmacja,"['„Afirmacja. \n\n\tBiuletyn Informacyjny Biuletyn Informacyjny ""Biuletyn Informacyjny"", pismo wydawane przez TKZ „S” przy Zakładzie Robót Górniczych w Lubinie IV 1985 – I 1986.\n TKZ ZRG Lubin”, pismo zakładowe Tymczasowej KZ/Komitetu Organizacyjnego w\xa0Zakładzie Robót Górniczych w\xa0Lubinie, wydawane od XI 1988 do VII 1989. W\xa0redakcji: Wiesław Świerszcz i\xa0Leszek Michalski (pomysłodawca). Z\xa0nieregularną częstotliwością ukazało się ok.\xa010 nr.\xa0(nakł. 1500 egz., obj. 2 s., format A4, druk pocz. na powielaczu, nast. offsetowy). Z\xa0redakcją ściśle współpracował Tadeusz Madziarczyk (organizacja druku i\xa0sieć kolportażu) i\xa0Edward Wertka (druk). Kolporterzy: Tadeusz Jarczak, Leszek Cebo, Adam Mickiewicz, Jan Tabor, Eugeniusz Liszewski, Edward Krzyśków, Józef Kowalik, Wiesław Świerszcz. Publikowano dokumenty TKZ i\xa0Komitetu Organizacyjnego oraz innych struktur „S”, informacje o\xa0życiu zakładu, komentarze polityczne, polemiki z\xa0wypowiedziami Lecha Wałęsy. Redakcja sympatyzowała z\xa0poglądami politycznymi Kornela Morawieckiego i\xa0SW.\xa0Kolportaż gł. w\xa0zakładach górniczych KGHM.', 'Łukasz Sołtysik', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Łukasz Sołtysik'],Zagłębie Miedziowe,,,
Afisz,"['""Afisz"", podtytuł: „Gazeta ścienna”, pismo wywieszane co tydzień w siedzibie NSZZ „S” Regionu Mazowsze przy ul. Mokotowskiej 16/20 w Warszawie w okresie 26 XI 1981 – 10 XII 1981.', 'Ukazało się 5 nr. ilustrowanych w formacie 59x41 cm, drukowanych na offsecie przez poligrafię Regionu.', 'W składzie redakcji: Bartłomiej Piotrowski (redaktor prowadzący), Wiktor Sadowski, Zdzisław Strent; opracowanie graficzne: Xawery Piwocki, Marek Goebel.', 'Publikowano bieżące informacje i ogłoszenia.']",['Anna Grażyna Kister'],Mazowsze,,,
Agencja Informacyjna Centrum Informacji Akademickiej NZS,"['Agencja Informacyjna Centrum Informacji Akademickiej NZS, działała III 1981 – 13 XII 1981 przy Wyższej Szkole Pedagogicznej w Rzeszowie; utworzona przez Radosława Wyrzykowskiego. Zbierała i przekazywała informacje własne oraz agencyjne.', 'W zespole: Lesław Granat (projekt winiety, opracowanie graficzne), Marek Wójcik, R. Wyrzykowski (redaktor naczelny), współpraca: Jerzy Koziarz, Krzysztof Lorenc, Barbara Pałka, Janusz Soboń, Magdalena Szurlej, Wanda Tarnawska, Andrzej Wontor.', 'AI CIA NZS przekazywała zakładom pracy regionu teleksowe serwisy informacyjne, m.in. z I KZD, o akcjach strajkowych, wydawała „Biuletyn Informacyjny CIA NZS WSP Rzeszów” i niezależne pismo studenckie „Kontrapunkt” (w IV 1981 nr specjalny nt. zbrodni katyńskiej), w X 1981 zorganizowała w WSP w Rzeszowie krajowy zjazd biur informacyjnych NZS, który zapoczątkował koordynację obiegu informacji.', 'Po 13 XII 1981 członkowie zespołu AI CIA NZS współpracowali z pismami podziemnymi; w Warszawie działała studencka agencja informacyjna o tej samej nazwie (CIA NZS).', '', 'Wanda Tarnawska', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Wanda Tarnawska'],Rzeszów,,,
Agencja Informacyjna S AIS,"['„Agencja Informacyjna «S» AIS”, pismo założone przez Joannę Wierzbicką-Rusiecką z inspiracji jej syna Aleksandra Rusieckiego, kontynuacja „Skrótu”, wydawane w Warszawie 31 VIII 1982 – 8 VII 1984. Ukazało się 29 n-rów (w tym nr 12A), obj. do 25 s., format A4, drukowane w mieszkaniach w Warszawie, nakł. 500 egz.; numerowane od n-ru 4. Niektóre n-ry z dodatkami, m.in.: „Informacja w sprawie zajść ulicznych, jakie miały miejsce 31 sierpnia 1982 roku w Lubinie” (nr 4); W. Anders, „Bez ostatniego rozdziału – wspomnienia z lat 1939–1946” – fragment wspomnień (nr 7); „Sytuacja społeczno-polityczna w gdańskim środowisku dziennikarskim czerwiec 1983 r.” – materiały Wydz. Propagandy Komitetu Wojewódzkiego PZPR w Gdańsku (nr 8); „W sprawie samorządów” (nr 9); „Zmiany w kodeksie karnym dot. przestępstw i wykroczeń o charakterze politycznym” (nr 10); „Deklaracja Międzynarodówki Oporu” (nr 11); „Relacja z procesu Mariana Piłki” – korespondencja z Rzeszowa (nr 12); „Akt oskarżenia przeciwko Jackowi Kuroniowi s. Henryka, Adamowi Michnikowi s. Ozjasza, Henrykowi Wujcowi s. Józefa, Zbigniewowi Romaszewskiemu s. Józefa” (nr 12A); „Sprawa Jana Domagały” (nr 14); „Przemówienie wygłoszone w Oslo w imieniu L. Wałęsy” (nr 16). W redakcji: J. Wierzbicka-Rusiecka (redaktor nacz.), Barbara Roszkowska, Witold Bobryk, Adam Bobryk, Adam Maciejczyk, Przemysław Maksymowicz, Danuta Karczewska (druk) Alicja Wróbel (druk i przygotowanie matryc), Andrzej Bober (druk); w 1984 na krótko druk przejęli Danuta Jadczak i Jarosław Kosiński; współprcował Maciej Kołaczkowski (pomoc finansowa, zaopatrzenie w papier i folię). Materiały nadsyłano z całej Polski dzięki sieci informacyjnej stworzonej dla „Skrótu”; informowano o wydarzeniach w kraju i represjach, publikowano oświadczenia władz związkowych i działaczy podziemnych, opinie prawne, przedruki z in. wydawnictw podziemnych, dokumenty kościelne i władz PRL, fragmenty audycji podziemnego Radia „S”, dane o emigracji działaczy związkowych. Kolportowane w całym kraju w oparciu o sieć informacyjną; przekazywane za granicę m.in. przez M. Kołaczkowskiego i Wiesławę Gizę-Siankowską. Od XI 1984 jego kontynuacją było pismo publicystyczne „KAT”.']",['Anna Grażyna Kister'],Mazowsze,,,
Agencja Informacyjna Solidarnosci WalczacejAgencja Wydawnicza Solidarnosci Walcz,"['Agencja Informacyjna Solidarności Walczącej/Agencja Wydawnicza Solidarności Walczącej, zamiennie używana nazwa podziemnej struktury wydawniczej SW działającej 1982–1990. Po raz pierwszy jej nazwa pojawiła się w n-rze 4 (z 5 VII 1982) „Solidarności Walczącej” (Wrocław). Silnie zdecentralizowana, składająca się z grup drukarskich i wydawniczych. Grupy drukarskie nie posiadające własnych ambicji wydawniczych zajmowały się gł. drukiem pism z dostarczanych im matryc. Dominowała technika sitodruku; w celu jej upowszechnienia prowadzono specjalne kursy dla działaczy SW. W poł. 1982 w SW było ok. 20 grup drukarskich, z biegiem czasu ich liczba wzrosła.', 'Grupy wydawnicze posiadały natomiast własne plany wydawnicze: m.in. powielały wybrane przez siebie podziemne pisma i książki. Część z grup ukształtowała się jeszcze przed powstaniem SW, nast. weszła w jej skład, m.in. Agencja Wydawnicza Jednością Silni, grupa skupiona wokół podziemnego pisma „Wiadomości Bieżące”, Robotnicze Wydawnictwo Feniks.', 'Do najważniejszych wrocławskich pism podziemnych sygnowanych przez AISW/AWSW należały: „Solidarność Walcząca”, „Biuletyn Dolnośląski”, „BIS”, „Wiadomości Bieżące”, „Jednością Silni”, „Walka”, „Replika”. Poza Wrocławiem pod szyldem AISW/AWSW drukowano m.in. pisma SW np. „PIK. Podziemny Informator Katowicki”, „Solidarność Walcząca” (Poznań), „Gryf” (Szczecin). Ponadto wydawano ulotki, pocztówki, kartki okolicznościowe, banknoty, znaczki plastikowe i metalowe, medale, monety, kasety magnetofonowe, zdjęcia, plakaty, znaczki pocztowe i pozycje zwarte.', 'W 1983 ukazały się pierwsze książki sygnowane przez AISW/AWSW, drukowane techniką sitodruku; jakość książek stopniowo się poprawiała poprzez udoskonalenia technik druku i dostęp do państwowych drukarń. Wg danych Biblioteki Narodowej wydano 58 książek (in. źródła podają nawet 100), gł. o tematyce historycznej i społ.-polit.; nakł. do kilku tys. egz.', 'Koordynacją działalności wydawniczej AISW/AWSW we Wrocławiu zajmowała się Zofia Maciejewska. Koordynatorami druku pism byli także m.in.: Piotr Medoń, Cezariusz Lesisz, Tadeusz Świerczewski i Wojciech Myślecki. Drukowali m.in.: Krzysztof Bieżuński, Barbara Sarapuk, Adam Zabokrzycki, Jarosław Hyk, Ludwika Ogorzelec, Andrzej Wawrzeń, Jarosław Łuczak, Andrzej Domaradzki. \n\n\tDruk Druk „Druk”, tygodnik „S” Regionu Mazowsze wydawany II – X 1982 w Warszawie; od n-ru 7 podtytuł: „Tygodnik związkowy”.\n książek na tzw. dojściach w państwowych drukarniach organizował m.in. Aleksander Kalinowski, skład odbywał się m.in. w zaprzyjaźnionych zakładach introligatorskich. Kolporterzy m.in.: Józef Kapusta, Henryk Szpala, Ewa Grzegorzewska, Paweł Zadura. Pisma i książki kolportowano przede wszystkim na Dolnym Śląsku, a najważniejsze tytuły prasowe w całym kraju. AISW/AWSW współpracowała z wszystkimi najważniejszymi strukturami opozycyjnymi we Wrocławiu (w tym z RKS Dolny Śląsk, NZS i wieloma TKZ).', 'Papier i środki poligraficzne kupowano w sklepach lub otrzymywano od zaprzyjaźnionych osób, m.in. od drukarzy z państwowych zakładów poligraficznych współpracujących z SW. Działalność finansowano ze sprzedaży wydawnictw oraz ze środków zagranicznych (m.in. od przedstawicielstw SW na Zachodzie; 1984–1990 na druk „Solidarności Walczącej” (Wrocław) i „Biuletynu Dolnośląskiego” wykorzystywano dotacje z Institute for Democracy in Eastern Europe (IDEE).', 'AISW pełniła też rolę agencji informacyjnej, podpisywała krótkie komunikaty prasowe publikowane w prasie SW.', '14 XII 1983 doszło do największej wpadki podziemnej poligrafii SW. W skrzynce kontaktowej prowadzonej przez Kazimierza Klementowskiego SB przejęła kilka tys. egz. n-ru 66 wrocławskiej „Solidarności Walczącej”. W wyniku śledztwa aresztowano ponad 40 osób i zlikwidowano kolejne skrzynki kontaktowe oraz 2 drukarnie. W 1984 sprawa została umorzona na mocy amnestii.', 'Od 28 I 1986 rozpracowywana m.in. przez Wydz. III WUSW we Wrocławiu w ramach SOR krypt. Krety.', 'Kamil Dworaczek', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Kamil Dworaczek'],Dolny Śląsk,,,
